title,time,likes,stars,info
越有钱越过得顺风顺水，越是穷遇见麻烦事越多。 ​​​,1天前, 0, 0,FlowerPlus花加 母亲节主题 康乃馨鲜花束套装 49.9元包邮 车载破窗锤 9.8 元包邮 韩国进口 Lotte乐天 迷你黑巧牛奶冰淇淋 4 盒 / 30 枚 96 元顺丰...
“共计110年刑期” ​​​,1天前, 0, 1,null
朴实无华的阿姨～,1天前, 0, 0,null
面试官问：“你学历有点低呀，你会怎么办？” ​​​,1天前, 0, 0,null
虽然它量少 但是它价格高呀,1天前, 0, 0,null
老师：这个书不教也罢,1天前, 0, 0,null
苦了孩子不能苦自己,1天前, 0, 1,@TheSanfter：我在那啃汉堡的时候还遇到一个事，一个老奶奶领着一个小孙子也在点单，两个人只买了一盒薯条，然后坐在了我旁边的位置上，小孙子乖乖的坐着，边吃边问：“奶奶，这个真...
从体制内辞职会后悔吗？,1天前, 0, 1,null
你会因为社保问题提离职吗？,1天前, 0, 0,null
还是分手厨房,1天前, 0, 0,null
你离职后，如果没找到合适的工作，还会选择回原公司上班吗？ ​​​,1天前, 0, 1,null
中秋国庆休8天上7天,1天前, 0, 0,今年端午节是6月22日-24日放假，25日（周日）上班。需要连上6天班。而今年中秋国庆假期“合体”，形成8天的超级黄金周，但节后需要连上7天班。9月29日至10月6日放假调休，共8...
爱上班的人有福了 ​​​,1天前, 0, 0,null
你有点肆意了 ​​​,1天前, 0, 0,null
贫困转移，北贫南调,1天前, 0, 1,null
主打的就是一个反差是吧 ​​​,1天前, 0, 0,而且读的法学……属于是符合职业规划了
两个时代碰撞的恍惚感 ​​​,1天前, 0, 0,null
以为点一块钱的酒会最起码有块冰....没想到.... ​​​,1天前, 0, 0,null
《对等》,1天前, 0, 0,挺客气，没用驱逐，而是限期。还给了三天时间卷铺盖
直接把人训练成牛马不就好了？ ​​​,5天前, 0, 0,null
耳机该换换了！,5天前, 0, 0,30天免费试用，3年换新 魔声 AirMars XKT08 真无线蓝牙耳机 多色新低 69 元包邮 蓝牙5.2，支持ENC通话降噪。目前这款蓝牙耳机天猫商城MONSTER魔声安诺专...
